image 0,image 1,image 2
0,1,0
7,4,7
22,16,19
41,35,29
50,62,56
73,77,63
75,85,105
97,91,89
71,89,78
86,103,93
98,112,111
87,112,74
97,102,96
69,81,77
56,83,67
67,78,82
66,76,72
61,66,58
50,53,57
58,57,57
49,56,49
38,43,48
46,49,50
40,37,39
33,42,31
43,40,41
38,33,34
29,38,32
33,34,26
30,34,33
34,35,36
38,41,32
28,38,36
32,37,36
31,52,57
27,42,44
31,42,38
32,37,51
31,37,33
23,43,37
40,29,26
33,30,37
41,27,29
24,26,19
24,31,22
27,32,26
31,15,23
29,29,36
23,24,24
19,18,19
18,23,17
37,22,26
27,26,20
24,17,18
23,20,19
17,26,24
18,17,14
28,22,17
23,27,20
21,26,20
22,25,18
20,28,27
26,21,43
22,19,16
22,28,18
19,13,20
17,20,18
25,29,21
24,21,21
24,21,16
33,22,23
9,32,25
23,18,14
24,26,33
32,19,29
30,11,21
27,15,14
15,22,24
21,24,16
19,31,21
20,26,16
26,16,26
22,26,26
25,23,19
20,25,21
37,23,24
21,20,16
16,19,15
17,22,27
29,13,24
19,16,14
27,18,32
18,26,25
24,18,19
15,17,22
26,30,31
24,19,22
19,22,23
19,23,22
19,21,19
18,32,24
29,17,30
35,25,30
21,17,31
34,28,21
23,23,24
22,22,22
20,20,21
31,27,35
24,26,23
21,25,23
26,17,27
16,23,24
18,23,21
21,27,22
28,18,22
29,36,30
25,31,26
23,25,18
24,30,26
27,25,26
20,21,20
21,17,20
29,24,26
27,30,21
19,36,25
24,23,30
18,16,24
26,28,21
19,30,21
20,29,36
26,23,28
27,15,25
24,34,36
28,22,24
29,26,39
28,25,29
23,36,32
32,34,35
34,41,29
31,32,25
42,24,28
34,38,45
26,36,28
32,29,26
35,30,34
18,25,26
29,36,32
32,20,31
22,29,29
27,29,33
30,22,26
37,16,31
20,31,27
26,22,35
26,38,34
27,20,23
23,22,22
24,37,28
36,29,27
24,35,30
23,31,30
17,26,25
28,25,20
34,22,37
29,27,20
18,21,22
27,29,30
25,21,29
32,28,24
26,22,34
31,22,31
24,25,29
30,32,22
26,26,30
21,38,31
25,27,30
27,31,23
25,30,32
25,16,12
32,30,24
25,22,22
17,26,20
29,22,29
27,32,27
21,28,22
17,33,28
28,29,22
24,28,21
22,20,31
22,31,23
22,26,28
20,26,28
20,25,23
27,25,27
20,24,20
32,27,23
24,39,31
23,24,18
23,46,34
21,30,22
30,34,31
32,32,22
29,22,26
23,28,22
35,31,24
19,23,19
23,25,23
16,28,27
27,27,27
27,21,19
27,28,25
27,27,23
18,18,18
29,26,28
23,10,17
22,23,23
21,20,22
28,15,20
18,29,26
23,16,22
16,23,18
16,21,26
23,27,32
21,20,22
11,15,17
18,28,20
19,22,20
14,17,19
21,29,21
16,21,14
25,25,22
17,11,18
15,16,22
25,28,25
22,25,23
26,30,27
15,28,18
19,13,20
15,23,26
20,24,23
26,27,27
31,23,20
22,16,17
19,17,20
23,15,9
19,20,17
18,28,14
28,20,21
23,14,19
23,14,30
17,26,25
23,25,16
25,21,25
25,25,25
24,22,21
23,22,16
22,24,26
20,17,21
25,23,27
11,32,18
21,22,25
16,19,14
20,17,21
24,21,24
21,24,26
13,18,28
12,24,14
20,26,20
26,19,22
20,22,21
32,15,24
15,16,12
24,16,23
22,21,12
12,13,16
17,18,17
19,18,20
19,21,18
16,17,19
15,16,21
10,20,12
25,17,21
21,11,16
13,13,13
20,11,17
21,15,12
12,19,16
11,25,19
11,17,16
13,10,14
11,14,12
18,16,21
11,14,12
18,16,26
20,28,18
12,9,17
17,11,15
13,15,13
15,14,14
18,15,22
22,16,25
19,12,12
15,13,15
13,16,13
16,12,13
18,15,21
17,14,10
15,14,11
9,9,7
21,16,16
12,19,18
18,9,13
11,15,17
12,7,17
14,15,13
10,8,15
18,11,19
17,11,15
11,7,8
23,12,20
7,7,10
12,22,19
5,18,12
15,16,11
9,12,9
11,12,11
9,12,16
20,13,12
11,16,15
13,13,16
10,13,12
19,9,14
11,7,9
6,9,11
16,23,19
11,3,7
13,6,10
15,9,15
9,11,15
5,8,6
11,12,12
18,11,14
14,10,12
15,11,7
16,11,21
7,14,16
15,10,12
13,8,12
8,16,10
7,12,13
8,13,11
16,7,13
14,6,13
13,6,12
13,8,7
13,15,12
6,8,11
11,8,9
9,13,13
17,9,11
11,6,10
10,7,6
12,9,13
20,8,12
15,10,12
10,10,13
10,5,9
14,9,10
18,12,14
7,8,8
9,10,11
14,11,11
11,7,11
11,6,5
19,12,8
11,9,9
12,12,7
18,13,12
17,8,13
7,11,12
10,12,12
11,4,13
8,6,3
8,7,8
8,12,8
12,6,11
14,12,11
14,7,9
12,6,9
7,9,6
5,6,3
11,7,6
8,3,7
17,4,14
9,3,7
10,7,4
9,10,7
11,8,10
7,9,6
9,10,9
8,6,7
6,7,7
11,6,10
9,14,10
7,4,9
16,6,8
7,4,4
12,7,5
8,10,6
6,5,6
13,7,7
11,3,6
9,12,7
9,4,3
14,8,14
9,3,3
6,9,10
7,5,10
9,8,11
3,6,2
11,5,10
8,7,7
10,4,8
8,6,8
10,9,11
7,13,10
3,1,6
12,4,8
7,10,9
4,7,6
4,5,3
7,9,3
10,7,6
7,8,4
9,9,4
5,9,3
10,13,5
7,4,10
12,4,5
9,6,7
16,6,13
9,9,7
7,4,10
6,3,2
10,4,8
9,7,7
4,3,1
9,5,7
8,13,8
6,3,7
13,2,2
7,4,6
8,5,7
7,8,8
4,6,5
3,5,6
5,6,5
3,3,1
9,4,2
4,5,10
6,8,4
3,7,7
3,8,7
2,1,4
4,9,9
5,6,7
3,3,4
8,4,6
6,2,2
4,8,6
4,2,5
7,4,3
6,1,1
7,3,5
5,1,2
8,2,3
5,3,5
5,2,3
6,2,6
1,1,1
4,1,5
3,4,3
3,5,4
4,2,3
2,3,3
5,0,3
4,1,3
7,8,11
5,3,1
4,2,4
1,4,6
5,2,2
2,0,3
9,3,4
2,3,1
5,5,4
3,3,1
3,1,0
2,5,4
6,2,5
3,4,7
3,3,2
4,3,2
7,4,2
4,3,3
2,9,5
2,2,3
1,2,1
5,4,6
4,4,4
1,7,3
5,3,3
6,2,5
5,2,2
5,3,1
1,1,1
3,2,1
5,2,1
3,3,3
3,3,4
5,4,7
6,3,3
7,4,4
5,3,2
3,3,2
2,3,3
2,2,2
4,3,3
0,3,2
3,1,2
1,2,3
4,1,2
4,2,2
3,2,1
5,1,3
3,2,3
1,4,1
2,0,1
0,2,3
2,2,3
1,0,0
1,3,2
2,3,2
0,0,0
2,2,1
1,2,2
1,2,1
1,1,1
1,3,2
2,0,3
2,1,1
3,0,1
1,2,2
1,1,1
0,0,0
1,0,0
1,1,0
0,2,0
0,1,1
0,0,0
1,0,0
1,0,1
4,0,1
1,0,0
0,0,1
0,0,0
1,0,1
0,0,0
1,0,1
0,0,0
0,0,0
1,0,0
0,0,0
0,0,0
0,0,0
0,0,1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,1,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
